Publication,Corallivore,Corallivore_family,Direct_lesion_feeding,Correlation,Experimental_effect,Disease_specific,Disease_general,,,
Sussman et al. 2003,Hermodice carunculata,Amphinomidae,N,NA,Increased,Bleaching,Bleaching,,,
Williams and Miller 2005,Coralliophila abbreviata,Muricidae,N,NA,Increased,White pox/Acroporid serratiosis (APS)--probably,White,,,
Dalton and Godwin 2006,Phestilla sp.,Trinchesiidae,N,NA,Increased,Australian subtropical white syndrome (noted in Dalton et al. 2010),White,,,
Aeby and Santavy 2006,Chaetodon capistratus ,Chaetodontidae,N,NA,Increased,Black-band disease,BBD,,,
Gignoux-Wolfsohn et al. 2012,Coralliophila abbreviata,Muricidae,N,NA,Increased,White band disease,White,,,
Gignoux-Wolfsohn et al. 2012,Coralliophila caribea,Muricidae,N,NA,No effect,White band disease,White,,,
Antonius 1977,Hermodice carunculata,Amphinomidae,N,NA,Increased,Shut down reaction,White,,,
Aeby 1992,Chaetodon multicinctus,Chaetodontidae,Y,NA,Decreased,Trematodiasis,Trematodiasis,,,
Aeby 1998,Chaetodon multicinctus,Chaetodontidae,Y,NA,NA,Trematodiasis,Trematodiasis,,,
Aeby 2002,Chaetodon multicinctus,Chaetodontidae,N,NA,NA,Trematodiasis,Trematodiasis,,,
Vargas-Ángel et al. 2003,Hermodice carunculata,Amphinomidae,N,Positive,NA,"White band disease, type I",White,,,
Sutherland et al. 2011,Coralliophila abbreviata,Muricidae,N,NA,Increased,White pox/Acroporid serratiosis (APS),White,,,
Rypien and Baker 2009,Cyphoma gibbosum,Ovulidae,N,NA,NA,Aspergillosis,Aspergillosis,,,
Nicolet et al. 2013,Drupella spp.,Muricidae,N,NA,Increased,Brown band disease,BrB,,,
Nicolet et al. 2013,Chromis viridis,Pomacentridae,N,NA,No effect,Brown band disease,,,,
Nicolet et al. 2013,Pomacentrus moluccensis,Pomacentridae,Y,None,No effect,Brown band disease,BrB,,,
Nicolet et al. 2013,Halichoeres melanurus,Labridae,Y,None,NA,Brown band disease,BrB,,,
Nicolet et al. 2013,Ecsenius sp,Blenniidae,Y,None,NA,Brown band disease,BrB,,,
Nicolet et al. 2013,Chromis nitida,Pomacentridae,Y,None,NA,Brown band disease,BrB,,,
Nicolet et al. 2013,Bryaninops erythrops,Gobiidae,Y,None,NA,Brown band disease,BrB,,,
Nicolet et al. 2013,Chaetodon aureofasciatus,Chaetodontidae,Y,None,No effect,Brown band disease,BrB,,,
Clemens and Brandt 2015,Coralliophila abbreviata,Muricidae,N,NA,Increased,White plague,White,,,
Clemens and Brandt 2015,Hermodice carunculata,Amphinomidae,N,NA,No effect,White plague,White,,,
Pratte and Richardson 2016,Cryptochiridae,Cryptochiridae,N,Positive,Increased,White plague-like disease,White,,,
Nicolet et al. 2018b,Drupella spp.,Muricidae,N,NA,Increased,Brown band disease,BrB,,,
Nicolet et al. 2018b,Drupella spp.,Muricidae,N,NA,No effect,Black-band disease,BBD,,,
Nicolet et al. 2018b,Chaetodon plebius,Chaetodontidae,N,NA,No effect,Brown band disease,BrB,,,
Nicolet et al. 2018b,Chaetodon plebius,Chaetodontidae,N,NA,No effect,Black-band disease,BBD,,,
Nicolet et al. 2018a,Chaetodon plebius,Chaetodontidae,Y,NA,No effect,Black-band disease,BBD,,,
Nicolet et al. 2018a,Chaetodon lunulatus,Chaetodontidae,Y,NA,NA,Black-band disease,BBD,,,
Nicolet et al. 2018a,Chaetodon rainfordi,Chaetodontidae,Y,NA,NA,Black-band disease,BBD,,,
Nicolet et al. 2018a,Chaetodon aureofasciatus,Chaetodontidae,Y,NA,NA,Black-band disease,BBD,,,
Nicolet et al. 2018a,Chaetodon baronessa,Chaetodontidae,Y,NA,NA,Black-band disease,BBD,,,
Nicolet et al. 2018a,Chaetodon trifascialis,Chaetodontidae,Y,NA,NA,Black-band disease,BBD,,,
Nicolet et al. 2018a,Labrichthys unilineatus,Labridae,Y,NA,NA,Black-band disease,BBD,,,
Nicolet et al. 2018a,Oxymonacanthus longirostris,Monacanthidae,Y,NA,NA,Black-band disease,BBD,,,
